dataset,tiers,baseline,method,mean_aurc_delta,ci_lo,ci_hi,excludes_zero,beats_baseline,mean_ci_lo,mean_ci_hi,mean_effect_excludes_zero,mean_effect_beats_baseline,n_seeds,n_boot_total
bank_marketing,ABC,signal_msp,signal_margin_logit,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,10000
bank_marketing,ABC,signal_msp,signal_margin_prob,3.799528526759674e-09,0.0,7.257514259449357e-08,False,False,0.0,2.3634383906375998e-08,False,False,10,10000
bank_marketing,ABC,signal_msp,signal_temp_msp,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,10000
bank_marketing,ABC,signal_msp,signal_trust_score,0.01429262198282119,0.01089626181487537,0.01790003604946496,True,False,0.013401746613034917,0.015182810043721396,True,False,10,10000
eeg_eye_state,ABC,signal_msp,A0_rank,-0.0015321069485265903,-0.00263215333162704,-0.00039454808727418196,True,True,-0.0017688090499679665,-0.0012987348249767817,True,True,10,10000
eeg_eye_state,ABC,signal_msp,A1_lightgbm,-0.0031832684631124125,-0.006180365237837976,0.0014406349622471041,False,False,-0.003990653661167853,-0.002350764937807948,True,True,10,10000
eeg_eye_state,ABC,signal_msp,A1_logreg,-0.004785007757435792,-0.0073992125628001846,-0.0028649499600803636,True,True,-0.005273068678712282,-0.00431267313155816,True,True,10,10000
eeg_eye_state,ABC,signal_msp,A1_logreg_naive_meta,-0.004415114163639039,-0.007430980934711942,0.00038483859169481584,False,False,-0.005078789317117223,-0.0035669562601469587,True,True,10,10000
eeg_eye_state,ABC,signal_msp,A2_adaptive_loss3,-0.003915262731286063,-0.005817017572002745,-0.002255089072781663,True,True,-0.004325542833758423,-0.0035029160361007504,True,True,10,10000
eeg_eye_state,ABC,signal_msp,A2_mlp_bce,-0.0042949983532566205,-0.007100611564389234,-0.00021062156774708286,True,True,-0.005004052533158125,-0.0034050749666337844,True,True,10,10000
eeg_eye_state,ABC,signal_msp,A2_mlp_loss1,-0.0017725863317903368,-0.0036607248265163794,0.0020369421000008448,False,False,-0.002343680325219955,-0.001012254214571793,True,True,10,10000
eeg_eye_state,ABC,signal_msp,A2_mlp_loss2,-0.0011405364544427427,-0.0046593275613305155,0.00431956472563667,False,False,-0.0017086870593890004,-0.0003812545743776938,True,True,10,10000
eeg_eye_state,ABC,signal_msp,A2_mlp_loss3,-0.004220662358737946,-0.006865249776978424,0.000737349600408593,False,False,-0.004935901957955129,-0.003311907631597961,True,True,10,10000
eeg_eye_state,ABC,signal_msp,A2_rl_bandit,-0.004100023436531085,-0.006716100356331102,-5.6866975759772705e-05,True,True,-0.004766277039661407,-0.0033111873748977974,True,True,10,10000
eeg_eye_state,ABC,signal_msp,A2_rl_c0.5,0.15520451754877032,0.11453280154479235,0.19613450300317836,True,False,0.14730217145756652,0.16277864914961754,True,False,10,10000
eeg_eye_state,ABC,signal_msp,A2_rl_c1.0,0.14464945896056283,0.10494053602091319,0.18423505932449083,True,False,0.13706874057069027,0.1524670437031315,True,False,10,10000
eeg_eye_state,ABC,signal_msp,A2_rl_c10.0,-0.004084601735237417,-0.0066481332646715074,0.0003462859569742713,False,False,-0.004773447756586868,-0.003294631084371904,True,True,10,10000
eeg_eye_state,ABC,signal_msp,A2_rl_c3.0,-0.004513689287761792,-0.007068197931729527,-0.0025815151711682466,True,True,-0.00501573072080452,-0.00401945151883828,True,True,10,10000
eeg_eye_state,ABC,signal_msp,A2_rl_linear,0.0011976793532092766,-0.0019352889805208811,0.010126676401824377,False,False,0.00015491891560223027,0.0022976328978397643,True,False,10,10000
eeg_eye_state,ABC,signal_msp,oracle,-0.005968759529129165,-0.008971953148521481,-0.0036523786304768066,True,True,-0.0065133470617920975,-0.005421864031166854,True,True,10,10000
eeg_eye_state,ABC,signal_msp,random,0.055489334772134705,0.03592057808439472,0.08501765517124256,True,False,0.05166698789263934,0.05962134539931443,True,False,10,10000
eeg_eye_state,ABC,signal_msp,signal_calib_residual,0.016230206640889516,0.005583562557376026,0.03141171184623026,True,False,0.01428020161600572,0.018314638598075035,True,False,10,10000
eeg_eye_state,ABC,signal_msp,signal_energy,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,10000
eeg_eye_state,ABC,signal_msp,signal_ensemble_mean_pairwise_kl,0.005445170212586858,0.0027213113237520726,0.008592467012980129,True,False,0.004709716009402504,0.006192674487469442,True,False,10,10000
eeg_eye_state,ABC,signal_msp,signal_ensemble_topclass_variance,0.0023315054180893797,0.00020976623565937045,0.004353965277702737,True,False,0.0018369254654953184,0.002825717671881666,True,False,10,10000
eeg_eye_state,ABC,signal_msp,signal_ensemble_vote_entropy,0.03393931566724175,0.022625964687194383,0.046656356091284684,True,False,0.030550604154874834,0.03746199455431937,True,False,10,10000
eeg_eye_state,ABC,signal_msp,signal_entropy,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,10000
eeg_eye_state,ABC,signal_msp,signal_knn_distance,0.04108728398740809,0.02891274570730995,0.05349059706384868,True,False,0.03789115686517153,0.04427810885310854,True,False,10,10000
eeg_eye_state,ABC,signal_msp,signal_local_label_agreement,-0.00195289660326385,-0.005375304993542864,0.0014891001764191585,False,False,-0.002584687579943062,-0.0012534671311286224,True,True,10,10000
eeg_eye_state,ABC,signal_msp,signal_mahalanobis,0.07123153865974996,0.05231051720156181,0.09543670869033463,True,False,0.06651598671215048,0.07601244627892755,True,False,10,10000
eeg_eye_state,ABC,signal_msp,signal_margin_logit,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,10000
eeg_eye_state,ABC,signal_msp,signal_margin_prob,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,10000
eeg_eye_state,ABC,signal_msp,signal_temp_msp,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,10000
eeg_eye_state,ABC,signal_msp,signal_trust_score,-0.004564276803487341,-0.007486768202183562,-0.0022614207819465996,True,True,-0.005096070876326762,-0.0040478860662942606,True,True,10,10000
electricity,ABC,signal_msp,A0_rank,-0.010004394437375119,-0.01668875066215184,-0.004071929599770869,True,True,-0.010782709732394072,-0.009186341312470087,True,True,10,10000
electricity,ABC,signal_msp,A1_lightgbm,0.12848685902959042,0.05670054429107102,0.19732995078705445,True,False,0.12516387769635587,0.13176410090958954,True,False,10,10000
electricity,ABC,signal_msp,A1_logreg,0.0029539658854719248,0.0008253874053909608,0.006196004270258746,True,False,0.002623224588249159,0.0033045987011471123,True,False,10,10000
electricity,ABC,signal_msp,A1_logreg_naive_meta,0.04988714817089191,0.008325538288944374,0.09683573614598999,True,False,0.04747660722950385,0.052569025231486405,True,False,10,10000
electricity,ABC,signal_msp,A2_adaptive_loss3,0.002421138562128113,-0.0023203487617736635,0.017820493350215568,False,False,0.001962031983560325,0.002874423032762065,True,False,10,10000
electricity,ABC,signal_msp,A2_mlp_bce,0.007291515094149716,-0.003964616558919511,0.03295092915843701,False,False,0.006614230708954833,0.008001215614033877,True,False,10,10000
electricity,ABC,signal_msp,A2_mlp_loss1,0.011116432301504511,-0.012584699463472137,0.05707240893353659,False,False,0.009169471878595004,0.013026340699380199,True,False,10,10000
electricity,ABC,signal_msp,A2_mlp_loss2,-0.007423521390483104,-0.01527347014987676,-0.000497251068304337,True,True,-0.008288849237950929,-0.006574885097894286,True,True,10,10000
electricity,ABC,signal_msp,A2_mlp_loss3,0.016773976605991343,-0.0006988463069963188,0.08090673993593667,False,False,0.01572771426214287,0.01783903381118343,True,False,10,10000
electricity,ABC,signal_msp,A2_rl_bandit,0.08294445182711395,0.0024187223895557864,0.31780246559788067,True,False,0.08031243774490485,0.08587173955636355,True,False,10,10000
electricity,ABC,signal_msp,A2_rl_c0.5,0.098106381738911,0.03499804510446804,0.15517508229096125,True,False,0.09402008280490068,0.10219416341563795,True,False,10,10000
electricity,ABC,signal_msp,A2_rl_c1.0,0.08469489964412769,0.01758144286831582,0.14617415976420728,True,False,0.08104337246254087,0.08850022075624538,True,False,10,10000
electricity,ABC,signal_msp,A2_rl_c10.0,0.08293498130509684,0.002240828303592593,0.317650672721976,True,False,0.08012372891271637,0.0857965694490862,True,False,10,10000
electricity,ABC,signal_msp,A2_rl_c3.0,0.17272977379071616,0.07842603061496252,0.2445858596425012,True,False,0.16831893550617685,0.1771412037866935,True,False,10,10000
electricity,ABC,signal_msp,A2_rl_linear,0.24728186328384755,0.17894278846816478,0.3288418992208064,True,False,0.24270751572047494,0.2517820152723002,True,False,10,10000
electricity,ABC,signal_msp,oracle,-0.11136378160250127,-0.12647930083094325,-0.1002861603375608,True,True,-0.11342031394600009,-0.10932523106421951,True,True,10,10000
electricity,ABC,signal_msp,random,0.17773235952746555,0.15524354588128492,0.19872863146850697,True,False,0.17371988290956622,0.18214919925654074,True,False,10,10000
electricity,ABC,signal_msp,signal_calib_residual,0.09970097176684385,0.05338399986337273,0.17092217217676814,True,False,0.09594636938197192,0.10321011477365126,True,False,10,10000
electricity,ABC,signal_msp,signal_energy,3.6396892690415683e-09,-7.384849126518266e-08,1.0425157785376448e-07,False,False,-2.3562475105834423e-08,3.953450809938972e-08,False,False,10,10000
electricity,ABC,signal_msp,signal_ensemble_mean_pairwise_kl,-0.0083585712698069,-0.029281899217414482,0.016561375791195595,False,False,-0.010145529488418965,-0.006555079966328682,True,True,10,10000
electricity,ABC,signal_msp,signal_ensemble_topclass_variance,-0.01337690323860829,-0.030817299962498473,0.006283177755935265,False,False,-0.015083965738805947,-0.011711172549993822,True,True,10,10000
electricity,ABC,signal_msp,signal_ensemble_vote_entropy,0.15231820002007182,0.12679919832027528,0.17383968394959254,True,False,0.14826922114475719,0.15609759669175421,True,False,10,10000
electricity,ABC,signal_msp,signal_entropy,4.808651524421115e-09,0.0,6.500599925504664e-08,False,False,0.0,1.9035982986165266e-08,False,False,10,10000
electricity,ABC,signal_msp,signal_knn_distance,0.2175882232068784,0.1802693231293457,0.2517067684269695,True,False,0.21292677202598342,0.22255448731764885,True,False,10,10000
electricity,ABC,signal_msp,signal_local_label_agreement,0.02899211251641533,0.013658556021685643,0.04213677005020682,True,False,0.026264246878408472,0.031709023958222365,True,False,10,10000
electricity,ABC,signal_msp,signal_mahalanobis,0.243145849742702,0.2191410053731581,0.26326989934459794,True,False,0.23866541893934712,0.24755197027485107,True,False,10,10000
electricity,ABC,signal_msp,signal_margin_logit,-3.4339127351873387e-09,-8.489662707486522e-08,5.0978423787872984e-08,False,False,-3.288073832846683e-08,1.5806477411464676e-08,False,False,10,10000
electricity,ABC,signal_msp,signal_margin_prob,-3.6730330611850495e-08,-7.865174445280399e-07,7.038597613598368e-07,False,False,-2.4366042231778463e-07,1.7165655786882668e-07,False,False,10,10000
electricity,ABC,signal_msp,signal_temp_msp,5.3882895564849596e-11,0.0,2.895609211225891e-08,False,False,-8.555737301269017e-09,8.84715356544441e-09,False,False,10,10000
electricity,ABC,signal_msp,signal_trust_score,0.06624955570868442,0.04809349092670952,0.0813782399079971,True,False,0.06267888263078643,0.069737757490651,True,False,10,10000
german_credit,ABC,signal_msp,A0_rank,-0.009191461072882885,-0.047162599483517864,0.006693139478435949,False,False,-0.014864809663646448,-0.003927223841098206,True,True,10,10000
german_credit,ABC,signal_msp,A1_lightgbm,0.012481947690619383,-0.06465266708344916,0.07822742620162992,False,False,-0.0038361979576791386,0.02941087369989114,False,False,10,10000
german_credit,ABC,signal_msp,A1_logreg,0.0016635718005351353,-0.044273130346727786,0.04549407255580471,False,False,-0.007517554134125466,0.0113252791916731,False,False,10,10000
german_credit,ABC,signal_msp,A1_logreg_naive_meta,0.00818549324985586,-0.06377250039405681,0.0714183019281006,False,False,-0.00672397904093186,0.02345282200159433,False,False,10,10000
german_credit,ABC,signal_msp,A2_adaptive_loss3,0.010565278755969,-0.023126384718652016,0.06354775463412904,False,False,-0.0006141448133246704,0.021736672085070578,False,False,10,10000
german_credit,ABC,signal_msp,A2_mlp_bce,0.025757630696419648,-0.03354852100350328,0.11534798727984982,False,False,0.009914477870450102,0.04182264338979579,True,False,10,10000
german_credit,ABC,signal_msp,A2_mlp_loss1,0.03387274520821052,-0.04555359533108693,0.19334429192241873,False,False,0.016685231895158498,0.0516035985859153,True,False,10,10000
german_credit,ABC,signal_msp,A2_mlp_loss2,-0.0013398736244392146,-0.05408316293455017,0.049907460859838715,False,False,-0.012831736248069317,0.00909408401443091,False,False,10,10000
german_credit,ABC,signal_msp,A2_mlp_loss3,0.022525693028403838,-0.04015417890382531,0.1277110317485719,False,False,0.007766923819383246,0.03768933608905154,True,False,10,10000
german_credit,ABC,signal_msp,A2_rl_bandit,0.003773986600222711,-0.04059697635592466,0.055780975116170715,False,False,-0.009127709214332373,0.015612224467160454,False,False,10,10000
german_credit,ABC,signal_msp,A2_rl_c0.5,0.07269065464320305,-0.013218223386163384,0.19604468640400916,False,False,0.04817737293943858,0.09684829748176176,True,False,10,10000
german_credit,ABC,signal_msp,A2_rl_c1.0,0.05400803379493943,-0.02828142247695432,0.19266820378703503,False,False,0.03322623810968984,0.07495161038498975,True,False,10,10000
german_credit,ABC,signal_msp,A2_rl_c10.0,0.003600674916978692,-0.04074983042575981,0.05554906207041142,False,False,-0.008033281486567527,0.014818320533910986,False,False,10,10000
german_credit,ABC,signal_msp,A2_rl_c3.0,-0.000741074387850986,-0.04057670683925157,0.050207173034640576,False,False,-0.011821407216130408,0.009742629445290215,False,False,10,10000
german_credit,ABC,signal_msp,A2_rl_linear,0.006941964732496551,-0.04710858324822143,0.09612845980371107,False,False,-0.0076075461544498025,0.022340377044863947,False,False,10,10000
german_credit,ABC,signal_msp,oracle,-0.10038225036771517,-0.18542323801118604,-0.03375421570556049,True,True,-0.12007532174157891,-0.08250345893762549,True,True,10,10000
german_credit,ABC,signal_msp,random,0.12465219206415941,0.030342206010020384,0.223686060810861,True,False,0.09559424424277077,0.15283705770237194,True,False,10,10000
