dataset,baseline,method,mean_aurc_delta,p_value,p_value_holm,significant_at_0.05
letter,signal_msp,signal_calib_residual,0.0005517949947653495,0.001953125,0.060546875,False
letter,signal_msp,signal_energy,0.0006880580031700107,0.001953125,0.060546875,False
letter,signal_msp,signal_ensemble_mean_pairwise_kl,0.000390842084558095,0.001953125,0.060546875,False
letter,signal_msp,signal_ensemble_topclass_variance,0.00036151851801222287,0.001953125,0.060546875,False
letter,signal_msp,signal_ensemble_vote_entropy,0.017986154221368716,0.001953125,0.060546875,False
letter,signal_msp,signal_entropy,1.5674815151312146e-07,1.0,1.0,False
letter,signal_msp,signal_knn_distance,0.007736111435630699,0.001953125,0.060546875,False
letter,signal_msp,signal_local_label_agreement,0.001575410010792544,0.001953125,0.060546875,False
letter,signal_msp,signal_logitnorm_msp,0.0005976731615249312,0.001953125,0.060546875,False
letter,signal_msp,signal_mahalanobis,0.013652103119145437,0.001953125,0.060546875,False
letter,signal_msp,signal_margin_logit,1.444366936363265e-05,0.048828125,0.439453125,False
letter,signal_msp,signal_margin_prob,4.331948086409918e-06,0.16015625,1.0,False
letter,signal_msp,signal_temp_msp,7.287543474160147e-06,0.556640625,1.0,False
letter,signal_msp,signal_trust_score,0.0013705738869928053,0.001953125,0.060546875,False
magic_telescope,signal_msp,A0_rank,-0.0005142311484100635,0.037109375,0.111328125,False
magic_telescope,signal_msp,A1_lightgbm,0.006229467845646124,0.001953125,0.048828125,True
magic_telescope,signal_msp,A1_logreg,-0.0006613520864103148,0.001953125,0.048828125,True
magic_telescope,signal_msp,A1_logreg_naive_meta,-0.00017960224610570134,0.232421875,0.232421875,False
magic_telescope,signal_msp,A2_adaptive_loss3,0.002642430255232106,0.001953125,0.048828125,True
magic_telescope,signal_msp,A2_mlp_bce,0.0011661832802010758,0.005859375,0.048828125,True
magic_telescope,signal_msp,A2_mlp_loss1,0.0015959988998006408,0.001953125,0.048828125,True
magic_telescope,signal_msp,A2_mlp_loss2,0.0007746001840871559,0.083984375,0.16796875,False
magic_telescope,signal_msp,A2_mlp_loss3,0.002010953225545261,0.001953125,0.048828125,True
magic_telescope,signal_msp,A2_rl_bandit,0.0015257799558345212,0.001953125,0.048828125,True
magic_telescope,signal_msp,A2_rl_c0.5,0.1417541205284919,0.001953125,0.048828125,True
magic_telescope,signal_msp,A2_rl_c1.0,0.1169058815774596,0.001953125,0.048828125,True
magic_telescope,signal_msp,A2_rl_c10.0,0.0015257799558345212,0.001953125,0.048828125,True
magic_telescope,signal_msp,A2_rl_c3.0,0.008077113122521197,0.001953125,0.048828125,True
magic_telescope,signal_msp,A2_rl_linear,0.013686656309429179,0.001953125,0.048828125,True
magic_telescope,signal_msp,oracle,-0.02757172412219283,0.001953125,0.048828125,True
magic_telescope,signal_msp,random,0.08100188448581987,0.001953125,0.048828125,True
magic_telescope,signal_msp,signal_calib_residual,0.035816349112505114,0.001953125,0.048828125,True
magic_telescope,signal_msp,signal_ensemble_mean_pairwise_kl,0.00702594407659228,0.001953125,0.048828125,True
magic_telescope,signal_msp,signal_ensemble_topclass_variance,0.0023239632077085965,0.001953125,0.048828125,True
magic_telescope,signal_msp,signal_ensemble_vote_entropy,0.060664310617931004,0.001953125,0.048828125,True
magic_telescope,signal_msp,signal_knn_distance,0.06864088643270796,0.001953125,0.048828125,True
magic_telescope,signal_msp,signal_local_label_agreement,0.026405865698789787,0.001953125,0.048828125,True
magic_telescope,signal_msp,signal_mahalanobis,0.06711014757014523,0.001953125,0.048828125,True
magic_telescope,signal_msp,signal_trust_score,0.0168836384609353,0.001953125,0.048828125,True
nomao,signal_msp,A0_rank,0.0002805646977152656,0.001953125,0.048828125,True
nomao,signal_msp,A1_lightgbm,0.0008110631533396103,0.001953125,0.048828125,True
nomao,signal_msp,A1_logreg,2.022803475517352e-05,0.322265625,0.322265625,False
nomao,signal_msp,A1_logreg_naive_meta,9.877177001731455e-05,0.00390625,0.048828125,True
nomao,signal_msp,A2_adaptive_loss3,0.0005010853214857751,0.001953125,0.048828125,True
nomao,signal_msp,A2_mlp_bce,0.0006102806224859137,0.001953125,0.048828125,True
nomao,signal_msp,A2_mlp_loss1,0.0016250891592089253,0.001953125,0.048828125,True
nomao,signal_msp,A2_mlp_loss2,0.00034304906851881237,0.00390625,0.048828125,True
nomao,signal_msp,A2_mlp_loss3,0.0006621632765661132,0.001953125,0.048828125,True
nomao,signal_msp,A2_rl_bandit,0.003219196237423816,0.001953125,0.048828125,True
nomao,signal_msp,A2_rl_c0.5,0.07184443035620908,0.001953125,0.048828125,True
nomao,signal_msp,A2_rl_c1.0,0.06573973913256802,0.001953125,0.048828125,True
nomao,signal_msp,A2_rl_c10.0,0.003219196237423816,0.001953125,0.048828125,True
nomao,signal_msp,A2_rl_c3.0,0.008394903034024234,0.001953125,0.048828125,True
nomao,signal_msp,A2_rl_linear,0.0018980971236863542,0.001953125,0.048828125,True
nomao,signal_msp,oracle,-0.001389024274602805,0.001953125,0.048828125,True
nomao,signal_msp,random,0.026285023464040415,0.001953125,0.048828125,True
nomao,signal_msp,signal_calib_residual,0.0010485742852563876,0.001953125,0.048828125,True
nomao,signal_msp,signal_ensemble_mean_pairwise_kl,0.00036354207302754995,0.001953125,0.048828125,True
nomao,signal_msp,signal_ensemble_topclass_variance,0.00014530060609569003,0.001953125,0.048828125,True
nomao,signal_msp,signal_ensemble_vote_entropy,0.019187306466012674,0.001953125,0.048828125,True
nomao,signal_msp,signal_knn_distance,0.01883544459489886,0.001953125,0.048828125,True
nomao,signal_msp,signal_local_label_agreement,0.005219149616821286,0.001953125,0.048828125,True
nomao,signal_msp,signal_mahalanobis,0.01827370631178247,0.001953125,0.048828125,True
nomao,signal_msp,signal_trust_score,0.0032076199077302548,0.001953125,0.048828125,True
phoneme,signal_msp,A0_rank,-0.0013682323101858697,0.001953125,0.048828125,True
phoneme,signal_msp,A1_lightgbm,-0.00024250065246727293,0.76953125,1.0,False
phoneme,signal_msp,A1_logreg,-0.0018885925859735894,0.005859375,0.05859375,False
phoneme,signal_msp,A1_logreg_naive_meta,-0.001107466169832138,0.083984375,0.671875,False
phoneme,signal_msp,A2_adaptive_loss3,0.0017920993111498755,0.02734375,0.24609375,False
phoneme,signal_msp,A2_mlp_bce,0.0005157485187094809,0.275390625,1.0,False
phoneme,signal_msp,A2_mlp_loss1,0.0006224421193703454,0.322265625,1.0,False
phoneme,signal_msp,A2_mlp_loss2,0.0001643991638218007,0.6953125,1.0,False
phoneme,signal_msp,A2_mlp_loss3,0.0001617604751333733,0.76953125,1.0,False
phoneme,signal_msp,A2_rl_bandit,0.0006569623769115506,0.375,1.0,False
phoneme,signal_msp,A2_rl_c0.5,0.15160406978406343,0.001953125,0.048828125,True
phoneme,signal_msp,A2_rl_c1.0,0.12352610171036979,0.001953125,0.048828125,True
phoneme,signal_msp,A2_rl_c10.0,0.0006569623769115506,0.375,1.0,False
phoneme,signal_msp,A2_rl_c3.0,0.004275669437601652,0.001953125,0.048828125,True
phoneme,signal_msp,A2_rl_linear,0.008730350442872375,0.001953125,0.048828125,True
phoneme,signal_msp,oracle,-0.015958823791390454,0.001953125,0.048828125,True
phoneme,signal_msp,random,0.07250364112957026,0.001953125,0.048828125,True
phoneme,signal_msp,signal_calib_residual,0.01207452369459722,0.001953125,0.048828125,True
phoneme,signal_msp,signal_ensemble_mean_pairwise_kl,0.0031234038716569513,0.001953125,0.048828125,True
phoneme,signal_msp,signal_ensemble_topclass_variance,0.0018246196766662115,0.001953125,0.048828125,True
phoneme,signal_msp,signal_ensemble_vote_entropy,0.05869663297427459,0.001953125,0.048828125,True
phoneme,signal_msp,signal_knn_distance,0.0571974852412049,0.001953125,0.048828125,True
phoneme,signal_msp,signal_local_label_agreement,0.010007459941416474,0.001953125,0.048828125,True
phoneme,signal_msp,signal_mahalanobis,0.06211949407775637,0.001953125,0.048828125,True
phoneme,signal_msp,signal_trust_score,-0.0026543443181237325,0.00390625,0.048828125,True
satimage,signal_msp,A0_rank,0.00013242977154547783,0.431640625,1.0,False
satimage,signal_msp,A1_lightgbm,0.004075376488195377,0.001953125,0.060546875,False
satimage,signal_msp,A1_logreg,-0.0004706059339057254,0.048828125,0.5859375,False
satimage,signal_msp,A1_logreg_naive_meta,0.00011135066413289971,0.76953125,1.0,False
satimage,signal_msp,A2_adaptive_loss3,0.0011567100481641298,0.009765625,0.13671875,False
satimage,signal_msp,A2_mlp_bce,0.0018023179613883492,0.009765625,0.13671875,False
satimage,signal_msp,A2_mlp_loss1,0.0002897934906089286,0.375,1.0,False
satimage,signal_msp,A2_mlp_loss2,5.298900921552278e-05,0.845703125,1.0,False
satimage,signal_msp,A2_mlp_loss3,0.002036894862815909,0.00390625,0.07421875,False
satimage,signal_msp,A2_rl_bandit,0.0009293756217937292,0.232421875,1.0,False
satimage,signal_msp,A2_rl_c0.5,0.07508579778356024,0.001953125,0.060546875,False
satimage,signal_msp,A2_rl_c1.0,0.07808222458606635,0.001953125,0.060546875,False
satimage,signal_msp,A2_rl_c10.0,0.0009293756217937292,0.232421875,1.0,False
satimage,signal_msp,A2_rl_c3.0,0.016786759937831602,0.005859375,0.087890625,False
satimage,signal_msp,A2_rl_linear,0.007163679415859739,0.001953125,0.060546875,False
