dataset,tiers,baseline,method,mean_aurc_delta,ci_lo,ci_hi,excludes_zero,beats_baseline,mean_ci_lo,mean_ci_hi,mean_effect_excludes_zero,mean_effect_beats_baseline,n_seeds,n_boot_total
electricity,AC,signal_msp,signal_temp_msp,-4.253222548374532e-09,-1.0174531883747062e-07,5.8365642052748957e-08,False,False,-4.290537425399865e-08,1.8044738181663397e-08,False,False,10,15000
electricity,AC,signal_msp,signal_trust_score,0.06327907460064669,0.04594823501722796,0.0808367373053603,True,False,0.059837978722327746,0.06651156805939507,True,False,10,15000
german_credit,AC,signal_msp,A0_rank,-0.007708694290917249,-0.03600024005623352,0.012556635433437578,False,False,-0.014029756623466186,-0.00155472790589466,True,True,10,15000
german_credit,AC,signal_msp,A1_lightgbm,0.023999409951612635,-0.04559524750438286,0.08795813940183862,False,False,0.006868352070349669,0.041411068173572756,True,False,10,15000
german_credit,AC,signal_msp,A1_logreg,0.0013026852425356826,-0.02674011329477074,0.026890936170897682,False,False,-0.006011450811600327,0.008404159315589032,False,False,10,15000
german_credit,AC,signal_msp,A1_logreg_naive_meta,0.00489448680049876,-0.05184842370440121,0.07116941673476639,False,False,-0.008338843833997162,0.017721210677691508,False,False,10,15000
german_credit,AC,signal_msp,A2_adaptive_loss3,0.013927085772084574,-0.02674502835034996,0.06659307092865857,False,False,0.003084564968751052,0.026164487677519607,True,False,10,15000
german_credit,AC,signal_msp,A2_mlp_bce,0.020674595499664977,-0.031843965094472494,0.10410978452332961,False,False,0.00716483468254908,0.03565230263053128,True,False,10,15000
german_credit,AC,signal_msp,A2_mlp_loss1,0.005612070233082342,-0.03103958157881443,0.08000830389541054,False,False,-0.004723407805116396,0.01651984301988779,False,False,10,15000
german_credit,AC,signal_msp,A2_mlp_loss2,-0.003825049238740348,-0.04202177309875262,0.030590301317864544,False,False,-0.012770924737290645,0.004403044542722699,False,False,10,15000
german_credit,AC,signal_msp,A2_mlp_loss3,0.016250685452023992,-0.02716348187810148,0.07599192000352929,False,False,0.0037388458492879366,0.028722216196664735,True,False,10,15000
german_credit,AC,signal_msp,oracle,-0.10242228750193416,-0.18370996924545915,-0.04212528848026728,True,True,-0.12152959343542717,-0.08476284332564207,True,True,10,15000
german_credit,AC,signal_msp,random,0.1136853195308988,0.0004172060264212577,0.22657402039819133,True,False,0.08806320133093716,0.14053929585243843,True,False,10,15000
german_credit,AC,signal_msp,signal_calib_residual,0.039824069430547504,-0.011236277508660448,0.12686391168656058,False,False,0.025568171252874746,0.05439001471384645,True,False,10,15000
german_credit,AC,signal_msp,signal_energy,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,15000
german_credit,AC,signal_msp,signal_entropy,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,15000
german_credit,AC,signal_msp,signal_knn_distance,0.061767661609560105,-0.0381694208420405,0.16676257790540489,False,False,0.035902194022073834,0.08736668409884533,True,False,10,15000
german_credit,AC,signal_msp,signal_local_label_agreement,0.021791985015896388,-0.03856294879939357,0.09793765224748488,False,False,0.005385397764530828,0.03830705972057544,True,False,10,15000
german_credit,AC,signal_msp,signal_mahalanobis,0.04862539368403157,-0.030995309693637726,0.14626275507203193,False,False,0.025420989362596663,0.07270032346428053,True,False,10,15000
german_credit,AC,signal_msp,signal_margin_logit,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,15000
german_credit,AC,signal_msp,signal_margin_prob,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,15000
german_credit,AC,signal_msp,signal_temp_msp,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,15000
german_credit,AC,signal_msp,signal_trust_score,0.028543713562733004,-0.05036494537986728,0.11156047766901896,False,False,0.008176041216594158,0.048555335488781846,True,False,10,15000
letter,AC,signal_msp,A0_rank,0.00022150043148186864,-2.0470843095499504e-05,0.0004898965816656382,False,False,0.00015705345947525015,0.00028831880796022664,True,False,10,15000
letter,AC,signal_msp,A1_lightgbm,0.000500145879292907,-0.00029034060605894233,0.003928889141578499,False,False,9.100897050413781e-05,0.0010543500275070551,True,False,10,15000
letter,AC,signal_msp,A1_logreg,-8.247794579042275e-05,-0.00025973366695257694,0.00011851986869219658,False,False,-0.00012843935879060855,-3.825488054819232e-05,True,True,10,15000
letter,AC,signal_msp,A1_logreg_naive_meta,-3.569125183387298e-05,-0.00022672391593096355,0.0001702549863898419,False,False,-8.290538907918793e-05,8.542626085065016e-06,False,False,10,15000
letter,AC,signal_msp,A2_adaptive_loss3,0.0001009657718604429,-0.00018616547625842323,0.0006819460417883203,False,False,1.2439985530905018e-05,0.00021198294005264726,True,False,10,15000
letter,AC,signal_msp,A2_mlp_bce,-2.9922259596223535e-05,-0.0002755361196823515,0.0003128872788784777,False,False,-9.673645940387662e-05,4.1988151369955556e-05,False,False,10,15000
letter,AC,signal_msp,A2_mlp_loss1,0.001635607469521335,8.478430205528127e-05,0.00527193350872301,True,False,0.0010368820847000732,0.002303930048701291,True,False,10,15000
letter,AC,signal_msp,A2_mlp_loss2,5.231942703795623e-05,-0.00011165698033794823,0.0002917995357628319,False,False,9.789417822614668e-07,0.00010605747088263476,True,False,10,15000
letter,AC,signal_msp,A2_mlp_loss3,3.2425086311325348e-06,-0.00023929490135099032,0.0003281888815048873,False,False,-6.235499937154234e-05,7.3797703249961e-05,False,False,10,15000
letter,AC,signal_msp,oracle,-0.0009156236614429882,-0.0015025242251687084,-0.0005640555917305886,True,True,-0.0010292649131422478,-0.0008107782877569193,True,True,10,15000
letter,AC,signal_msp,random,0.025299887772007076,0.016878195464870467,0.03732582051078085,True,False,0.022837620576107692,0.02783768575083772,True,False,10,15000
letter,AC,signal_msp,signal_calib_residual,0.0005455654803975677,8.407539962878813e-05,0.00138427903118316,True,False,0.00043827963191575613,0.0006590629332756893,True,False,10,15000
letter,AC,signal_msp,signal_energy,0.0006729784869304127,0.0002474088788951788,0.001274206586129849,True,False,0.0005487069362179678,0.0007979124503763517,True,False,10,15000
letter,AC,signal_msp,signal_entropy,-2.9257760984621207e-07,-3.694847260476989e-05,3.624596825811975e-05,False,False,-8.352753338785517e-06,8.052225106453399e-06,False,False,10,15000
letter,AC,signal_msp,signal_knn_distance,0.007331837690378203,0.0047885141065900656,0.010786347840327884,True,False,0.006590712783607021,0.008111629074955043,True,False,10,15000
letter,AC,signal_msp,signal_local_label_agreement,0.0010367730506865588,0.00020956114542382674,0.0026890414670631296,True,False,0.0007741014851766367,0.0013626724775510084,True,False,10,15000
letter,AC,signal_msp,signal_logitnorm_msp,0.0005879838412971992,0.00018561844045758766,0.0011884927491449709,True,False,0.00048221852006990936,0.0007030035200310407,True,False,10,15000
letter,AC,signal_msp,signal_mahalanobis,0.0134596867520345,0.008019136648790405,0.02123056851956778,True,False,0.01212601761729867,0.014885785953005342,True,False,10,15000
letter,AC,signal_msp,signal_margin_logit,1.7673660270039715e-05,-2.8756938567216616e-05,6.939387169579487e-05,False,False,5.719568898863519e-06,2.9776826951002254e-05,True,False,10,15000
letter,AC,signal_msp,signal_margin_prob,6.4641421325848615e-06,-1.8242622130837128e-05,3.223865180634895e-05,False,False,7.476547203069757e-07,1.1901838683087405e-05,True,False,10,15000
letter,AC,signal_msp,signal_temp_msp,6.875864501989855e-06,-5.2075700773195174e-05,6.705289264493108e-05,False,False,-7.015483528270349e-06,2.0502009271803843e-05,False,False,10,15000
