dataset,coverage_threshold,baseline,method,mean_gap_delta,p_value,p_value_holm,significant_at_0.05,narrows_disparity
german_credit,max_min_gap@0.8,signal_msp,signal_ensemble_topclass_variance,0.006141915326138623,0.2890625,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,signal_ensemble_vote_entropy,0.010365848555329248,0.322265625,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,signal_knn_distance,0.02885790055391433,0.01953125,0.4296875,False,False
german_credit,max_min_gap@0.8,signal_msp,signal_local_label_agreement,-0.01216987559299781,0.9453125,1.0,False,True
german_credit,max_min_gap@0.8,signal_msp,signal_mahalanobis,0.05274768167299125,0.005859375,0.134765625,False,False
german_credit,max_min_gap@0.8,signal_msp,signal_trust_score,-0.003817338719317101,0.845703125,1.0,False,True
german_credit,max_min_gap@0.9,signal_msp,A0_rank,0.001201408458749062,0.75,1.0,False,False
german_credit,max_min_gap@0.9,signal_msp,A1_lightgbm,-0.009764337885553202,0.8125,1.0,False,True
german_credit,max_min_gap@0.9,signal_msp,A1_logreg,0.002889455987997819,0.76953125,1.0,False,False
german_credit,max_min_gap@0.9,signal_msp,A1_logreg_naive_meta,0.010016717831500762,0.359375,1.0,False,False
german_credit,max_min_gap@0.9,signal_msp,A2_adaptive_loss3,-0.01599802250064878,0.734375,1.0,False,True
german_credit,max_min_gap@0.9,signal_msp,A2_mlp_bce,0.008110466968030177,0.359375,1.0,False,False
german_credit,max_min_gap@0.9,signal_msp,A2_mlp_loss1,0.00618397276047167,0.556640625,1.0,False,False
german_credit,max_min_gap@0.9,signal_msp,A2_mlp_loss2,0.0022448531686648484,0.734375,1.0,False,False
german_credit,max_min_gap@0.9,signal_msp,A2_mlp_loss3,0.011199979125441087,0.193359375,1.0,False,False
german_credit,max_min_gap@0.9,signal_msp,A2_rl_bandit,-0.016252179448658168,0.6875,1.0,False,True
german_credit,max_min_gap@0.9,signal_msp,A2_rl_c0.5,0.014612926836463114,0.083984375,1.0,False,False
german_credit,max_min_gap@0.9,signal_msp,A2_rl_c1.0,0.011188470156192482,0.275390625,1.0,False,False
german_credit,max_min_gap@0.9,signal_msp,A2_rl_c10.0,-0.016252179448658168,0.6875,1.0,False,True
german_credit,max_min_gap@0.9,signal_msp,A2_rl_c3.0,-0.013771418263719467,1.0,1.0,False,True
german_credit,max_min_gap@0.9,signal_msp,A2_rl_linear,0.020664654501562872,0.546875,1.0,False,False
german_credit,max_min_gap@0.9,signal_msp,oracle,-0.07456871368335914,0.001953125,0.048828125,True,True
german_credit,max_min_gap@0.9,signal_msp,random,0.04113114639833661,0.048828125,1.0,False,False
german_credit,max_min_gap@0.9,signal_msp,signal_calib_residual,0.020192215876663304,0.130859375,1.0,False,False
german_credit,max_min_gap@0.9,signal_msp,signal_ensemble_mean_pairwise_kl,-0.012825044805610452,0.23046875,1.0,False,True
german_credit,max_min_gap@0.9,signal_msp,signal_ensemble_topclass_variance,-0.010852567798624516,0.49609375,1.0,False,True
german_credit,max_min_gap@0.9,signal_msp,signal_ensemble_vote_entropy,0.006052000637690569,0.1015625,1.0,False,False
german_credit,max_min_gap@0.9,signal_msp,signal_knn_distance,-0.00034917346953697857,0.1640625,1.0,False,True
german_credit,max_min_gap@0.9,signal_msp,signal_local_label_agreement,-0.018417603797551134,0.734375,1.0,False,True
german_credit,max_min_gap@0.9,signal_msp,signal_mahalanobis,0.021418240057162457,0.009765625,0.234375,False,False
german_credit,max_min_gap@0.9,signal_msp,signal_trust_score,-0.014921196061764175,1.0,1.0,False,True
